eval_id,batch,eval_name,stage,tier,difficulty,bs_pass,outcome,diagnosis,required_refs,called_refs,missed_required_refs,required_scripts,called_scripts,missed_required_scripts
28,1,brain-region-for-curated-sorting,pipeline-usage,joins,medium,0,both_fail,routing_miss,common_tables.md;spikesorting_v1_pipeline.md,spikesorting_v1_pipeline.md,common_tables.md,code_graph.py,,code_graph.py
41,1,config-key-error-after-pull,setup,config-troubleshooting,medium,0,both_fail,loaded_required_but_failed,setup_troubleshooting.md,runtime_debugging.md;setup_troubleshooting.md,,,,
85,1,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,0,both_fail,routing_miss,common_mistakes.md;destructive_operations.md;ripple_pipeline.md,destructive_operations.md;ripple_pipeline.md,common_mistakes.md,,,
87,1,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,0,both_fail,loaded_required_but_failed,destructive_operations.md;position_trodes_v1_pipeline.md,destructive_operations.md;position_pipeline.md;position_trodes_v1_pipeline.md,,,code_graph.py,
88,1,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,0,both_fail,routing_miss,destructive_operations.md;merge_methods.md,decoding_pipeline.md;destructive_operations.md,merge_methods.md,,,
89,1,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,0,both_fail,routing_miss,datajoint_api.md;spikesorting_v1_pipeline.md,spikesorting_v1_pipeline.md,datajoint_api.md,code_graph.py,,code_graph.py
105,1,camera-devices-lookup,pipeline-usage,atomic-read,easy,0,both_fail,routing_miss,common_tables.md;position_pipeline.md,common_tables.md,position_pipeline.md,,,
108,1,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,0,both_fail,routing_miss,common_tables.md;group_tables.md;spikesorting_v1_analysis.md,group_tables.md;spikesorting_v1_analysis.md,common_tables.md,code_graph.py,,code_graph.py
118,1,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,1,baseline_only,loaded_required_but_failed,decoding_pipeline.md;destructive_operations.md,decoding_pipeline.md;destructive_operations.md,,,,
