stage,difficulty,n_evals,ws_pass,bs_pass,delta_pp
destructive-operations,medium,2,1,0,50.0
pipeline-authoring,hard,1,1,0,100.0
pipeline-usage,easy,1,0,0,0.0
pipeline-usage,medium,5,2,2,0.0
pipeline-usage,hard,5,3,2,20.0
setup,medium,1,0,0,0.0
parameter-understanding,hard,1,0,1,-100.0
