batch_id,label,n_evals,ws_full_pass,ws_full_rate,bs_full_pass,bs_full_rate,delta_full_pp,ws_exp_pass,ws_exp_total,ws_exp_rate,bs_exp_pass,bs_exp_total,bs_exp_rate,delta_exp_pp,ws_behavioral_pass,bs_behavioral_pass,behavioral_total,delta_behavioral_pp,ws_tokens_total,bs_tokens_total,ws_tokens_mean,bs_tokens_mean,ws_duration_mean_s,bs_duration_mean_s
1,"B1 key hygiene + merge",14,14,100.0,11,78.6,21.4,107,107,100.0,99,107,92.5,7.5,0,0,0,0.0,606652,403575,43332.3,28826.8,64.29,66.40
2,"B2 hallucination",20,20,100.0,17,85.0,15.0,142,142,100.0,134,142,94.4,5.6,0,0,0,0.0,843173,528576,42158.7,26428.8,73.21,56.43
3,"B3 pipeline-use 1",20,20,100.0,20,100.0,0.0,194,194,100.0,194,194,100.0,0.0,0,0,0,0.0,534155,347131,44512.9,26702.4,80.65,50.00
4,"B4 pipeline-use 2",19,10,52.6,7,36.8,15.8,158,175,90.3,141,175,80.6,9.7,54,44,63,15.9,818929,488767,43101.5,25724.6,74.20,62.72
5,"B5 param + counterfactual",8,6,75.0,5,62.5,12.5,54,57,94.7,49,57,86.0,8.8,29,28,32,3.1,429189,213237,53648.6,26654.6,263.68,176.48
6,"B6 runtime debug",19,19,100.0,18,94.7,5.3,120,120,100.0,117,120,97.5,2.5,0,0,0,0.0,922135,536758,48533.4,28250.4,89.21,68.04
7,"B7 setup / ingest / authoring / adv",30,22,73.3,5,16.7,56.7,214,237,90.3,161,237,67.9,22.4,103,72,116,26.7,1046949,634362,34898.3,21145.4,76.34,66.60
